Name	Ctrl	PeakMode
hPSC_Ctl_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_d3_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_d4_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_Ctl_OCT4CRISPRi_CnR_H3K27me3	hPSC_Ctl_OCT4CRISPRi_CnR_IgG	histone
hPSC_d3_OCT4CRISPRi_CnR_H3K27me3	hPSC_d3_OCT4CRISPRi_CnR_IgG	histone
hPSC_d4_OCT4CRISPRi_CnR_H3K27me3	hPSC_d4_OCT4CRISPRi_CnR_IgG	histone
hPSC_Ctl_OCT4CRISPRi_CnR_H3K9me2	hPSC_Ctl_OCT4CRISPRi_CnR_IgG	histone
hPSC_d4_OCT4CRISPRi_CnR_H3K9me2	hPSC_d4_OCT4CRISPRi_CnR_IgG	histone
hPSC_Ctl_OCT4CRISPRi_CnR_H3K27ac	hPSC_Ctl_OCT4CRISPRi_CnR_IgG	histone
hPSC_d4_OCT4CRISPRi_CnR_H3K27ac	hPSC_d4_OCT4CRISPRi_CnR_IgG	histone
