Id	Name	Description	Fq1	Fq2	Ctrl
hPSC_H3K9me3_Control_A6	hPSC_H3K9me3_Control_A6	hPSC_H3K9me3_Control_A6	hPSC_H3K9me3_Control_CloneA6_DmChromSpikeIn_S3_R1_001.fastq.gz	hPSC_H3K9me3_Control_CloneA6_DmChromSpikeIn_S3_R2_001.fastq.gz	hPSC_Input_Control_A6
hPSC_H3K9me3_Control_H5	hPSC_H3K9me3_Control_H5	hPSC_H3K9me3_Control_H5	hPSC_H3K9me3_Control_CloneH5_DmChromSpikeIn_S4_R1_001.fastq.gz	hPSC_H3K9me3_Control_CloneH5_DmChromSpikeIn_S4_R2_001.fastq.gz	hPSC_Input_Control_H5
hPSC_Input_Control_A6	hPSC_Input_Control_A6	hPSC_Input_Control_A6	hPSC_Input_Control_CloneA6_DmChromSpikeIn_S1_R1_001.fastq.gz	hPSC_Input_Control_CloneA6_DmChromSpikeIn_S1_R2_001.fastq.gz	NULL
hPSC_Input_Control_H5	hPSC_Input_Control_H5	hPSC_Input_Control_H5	hPSC_Input_Control_CloneH5_DmChromSpikeIn_S2_R1_001.fastq.gz	hPSC_Input_Control_CloneH5_DmChromSpikeIn_S2_R2_001.fastq.gz	NULL
DE_H3K9me3_Control_A6	DE_H3K9me3_Control_A6	DE_H3K9me3_Control_A6	DE_H3K9me3_Control_CloneA6_DmChromSpikeIn_S9_R1_001.fastq.gz	DE_H3K9me3_Control_CloneA6_DmChromSpikeIn_S9_R2_001.fastq.gz	DE_Input_Control_A6
DE_H3K9me3_Control_H5	DE_H3K9me3_Control_H5	DE_H3K9me3_Control_H5	DE_H3K9me3_Control_CloneH5_DmChromSpikeIn_S11_R1_001.fastq.gz	DE_H3K9me3_Control_CloneH5_DmChromSpikeIn_S11_R2_001.fastq.gz	DE_Input_Control_H5
DE_H3K9me3_FOXA123KD_A6	DE_H3K9me3_FOXA123KD_A6	DE_H3K9me3_FOXA123KD_A6	DE_H3K9me3_FOXA123KD_CloneA6_DmChromSpikeIn_S10_R1_001.fastq.gz	DE_H3K9me3_FOXA123KD_CloneA6_DmChromSpikeIn_S10_R2_001.fastq.gz	DE_Input_FOXA123KD_A6
DE_H3K9me3_FOXA123KD_H5	DE_H3K9me3_FOXA123KD_H5	DE_H3K9me3_FOXA123KD_H5	DE_H3K9me3_FOXA123KD_CloneH5_DmChromSpikeIn_S12_R1_001.fastq.gz	DE_H3K9me3_FOXA123KD_CloneH5_DmChromSpikeIn_S12_R2_001.fastq.gz	DE_Input_FOXA123KD_H5
DE_Input_Control_A6	DE_Input_Control_A6	DE_Input_Control_A6	DE_Input_Control_CloneA6_DmChromSpikeIn_S5_R1_001.fastq.gz	DE_Input_Control_CloneA6_DmChromSpikeIn_S5_R2_001.fastq.gz	NULL
DE_Input_Control_H5	DE_Input_Control_H5	DE_Input_Control_H5	DE_Input_Control_CloneH5_DmChromSpikeIn_S7_R1_001.fastq.gz	DE_Input_Control_CloneH5_DmChromSpikeIn_S7_R2_001.fastq.gz	NULL
DE_Input_FOXA123KD_A6	DE_Input_FOXA123KD_A6	DE_Input_FOXA123KD_A6	DE_Input_FOXA123KD_CloneA6_DmChromSpikeIn_S6_R1_001.fastq.gz	DE_Input_FOXA123KD_CloneA6_DmChromSpikeIn_S6_R2_001.fastq.gz	NULL
DE_Input_FOXA123KD_H5	DE_Input_FOXA123KD_H5	DE_Input_FOXA123KD_H5	DE_Input_FOXA123KD_CloneH5_DmChromSpikeIn_S8_R1_001.fastq.gz	DE_Input_FOXA123KD_CloneH5_DmChromSpikeIn_S8_R2_001.fastq.gz	NULL
PFG_H3K9me3_Control_A6	PFG_H3K9me3_Control_A6	PFG_H3K9me3_Control_A6	PFG_H3K9me3_Control_CloneA6_DmChromSpikeIn_S17_R1_001.fastq.gz	PFG_H3K9me3_Control_CloneA6_DmChromSpikeIn_S17_R2_001.fastq.gz	PFG_Input_Control_A6
PFG_H3K9me3_Control_H5	PFG_H3K9me3_Control_H5	PFG_H3K9me3_Control_H5	PFG_H3K9me3_Control_CloneH5_DmChromSpikeIn_S19_R1_001.fastq.gz	PFG_H3K9me3_Control_CloneH5_DmChromSpikeIn_S19_R2_001.fastq.gz	PFG_Input_Control_H5
PFG_H3K9me3_FOXA123KD_A6	PFG_H3K9me3_FOXA123KD_A6	PFG_H3K9me3_FOXA123KD_A6	PFG_H3K9me3_FOXA123KD_CloneA6_DmChromSpikeIn_S18_R1_001.fastq.gz	PFG_H3K9me3_FOXA123KD_CloneA6_DmChromSpikeIn_S18_R2_001.fastq.gz	PFG_Input_FOXA123KD_A6
PFG_H3K9me3_FOXA123KD_H5	PFG_H3K9me3_FOXA123KD_H5	PFG_H3K9me3_FOXA123KD_H5	PFG_H3K9me3_FOXA123KD_CloneH5_DmChromSpikeIn_S20_R1_001.fastq.gz	PFG_H3K9me3_FOXA123KD_CloneH5_DmChromSpikeIn_S20_R2_001.fastq.gz	PFG_Input_FOXA123KD_H5
PFG_Input_Control_A6	PFG_Input_Control_A6	PFG_Input_Control_A6	PFG_Input_Control_CloneA6_DmChromSpikeIn_S13_R1_001.fastq.gz	PFG_Input_Control_CloneA6_DmChromSpikeIn_S13_R2_001.fastq.gz	NULL
PFG_Input_Control_H5	PFG_Input_Control_H5	PFG_Input_Control_H5	PFG_Input_Control_CloneH5_DmChromSpikeIn_S15_R1_001.fastq.gz	PFG_Input_Control_CloneH5_DmChromSpikeIn_S15_R2_001.fastq.gz	NULL
PFG_Input_FOXA123KD_A6	PFG_Input_FOXA123KD_A6	PFG_Input_FOXA123KD_A6	PFG_Input_FOXA123KD_CloneA6_DmChromSpikeIn_S14_R1_001.fastq.gz	PFG_Input_FOXA123KD_CloneA6_DmChromSpikeIn_S14_R2_001.fastq.gz	NULL
PFG_Input_FOXA123KD_H5	PFG_Input_FOXA123KD_H5	PFG_Input_FOXA123KD_H5	PFG_Input_FOXA123KD_CloneH5_DmChromSpikeIn_S16_R1_001.fastq.gz	PFG_Input_FOXA123KD_CloneH5_DmChromSpikeIn_S16_R2_001.fastq.gz	NULL
